image_file,image_index,true_label,model,predicted_label,correct,confidence,true_label_score,confidence_gap,top1,top2,top3,prob_Center,prob_Loc,prob_Edge_Ring,prob_Edge_Loc,prob_Scratch,prob_Random,prob_Donut,prob_Near_full
0_Center.png,0,Center,Best CNN + Aug,Near-full,False,0.6524,0.0,0.6524,Near-full(0.652),Edge-Loc(0.183),Donut(0.114),0.0,0.0393,0.0001,0.1826,0.0,0.0001,0.1139,0.6524
0_Center.png,0,Center,Best CNN,Near-full,False,0.9199,0.0,0.9199,Near-full(0.920),Donut(0.046),Edge-Loc(0.020),0.0,0.007,0.0,0.0197,0.0,0.0,0.0462,0.9199
0_Center.png,0,Center,Fullstack,Near-full,False,0.0,0.0,0.0,Center(0.000),Loc(0.000),Edge-Ring(0.000),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_Center.png,0,Center,Seg → CLF,Center,True,1.0,1.0,0.0,Center(1.000),Loc(1.000),Edge-Ring(1.000),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100_Random.png,100,Random,Best CNN + Aug,Donut,False,0.3872,0.0009,0.3863,Donut(0.387),Edge-Loc(0.317),Near-full(0.241),0.0001,0.0523,0.0001,0.3168,0.0,0.0009,0.3872,0.2409
100_Random.png,100,Random,Best CNN,Near-full,False,0.4335,0.0001,0.4334,Near-full(0.433),Donut(0.356),Edge-Loc(0.162),0.0,0.049,0.0,0.1618,0.0,0.0001,0.3556,0.4335
100_Random.png,100,Random,Fullstack,Edge-Loc,False,0.0764,0.0025,0.0739,Edge-Loc(0.076),Scratch(0.011),Center(0.005),0.0052,0.002,0.0002,0.0764,0.0105,0.0025,0.001,0.0005
100_Random.png,100,Random,Seg → CLF,Center,False,1.0,0.9985,0.0015,Center(1.000),Loc(1.000),Edge-Ring(1.000),1.0,1.0,1.0,0.9996,0.1836,0.9985,1.0,1.0
101_Random.png,101,Random,Best CNN + Aug,Edge-Loc,False,0.3282,0.0071,0.3211,Edge-Loc(0.328),Near-full(0.265),Donut(0.247),0.0005,0.1439,0.0007,0.3282,0.0,0.0071,0.2472,0.2652
101_Random.png,101,Random,Best CNN,Near-full,False,0.5564,0.0001,0.5563,Near-full(0.556),Donut(0.334),Edge-Loc(0.101),0.0,0.0084,0.0,0.1013,0.0,0.0001,0.3336,0.5564
101_Random.png,101,Random,Fullstack,Random,True,0.0,0.0,0.0,Center(0.000),Loc(0.000),Edge-Ring(0.000),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_Random.png,101,Random,Seg → CLF,Center,False,1.0,0.9999,0.0001,Center(1.000),Loc(1.000),Edge-Ring(1.000),1.0,1.0,1.0,1.0,0.9967,0.9999,1.0,1.0
102_Random.png,102,Random,Best CNN + Aug,Near-full,False,0.3529,0.0014,0.3515,Near-full(0.353),Edge-Loc(0.299),Donut(0.298),0.0003,0.0453,0.0001,0.2994,0.0,0.0014,0.2984,0.3529
102_Random.png,102,Random,Best CNN,Near-full,False,0.6594,0.0018,0.6576,Near-full(0.659),Donut(0.207),Edge-Loc(0.106),0.0001,0.0259,0.0,0.1061,0.0,0.0018,0.2066,0.6594
102_Random.png,102,Random,Fullstack,Edge-Loc,False,0.0,0.0,0.0,Center(0.000),Loc(0.000),Edge-Ring(0.000),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_Random.png,102,Random,Seg → CLF,Center,False,1.0,1.0,0.0,Center(1.000),Loc(1.000),Edge-Ring(1.000),1.0,1.0,1.0,1.0,0.9992,1.0,1.0,1.0
103_Random.png,103,Random,Best CNN + Aug,Donut,False,0.3857,0.0636,0.3221,Donut(0.386),Edge-Loc(0.318),Loc(0.115),0.0052,0.1149,0.0002,0.3178,0.0,0.0636,0.3857,0.1121
103_Random.png,103,Random,Best CNN,Donut,False,0.687,0.0548,0.6322,Donut(0.687),Edge-Loc(0.115),Near-full(0.101),0.0012,0.0408,0.0,0.1148,0.0,0.0548,0.687,0.1013
103_Random.png,103,Random,Fullstack,Random,True,0.0,0.0,0.0,Center(0.000),Loc(0.000),Edge-Ring(0.000),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103_Random.png,103,Random,Seg → CLF,Edge-Ring,False,1.0,0.9938,0.0062,Edge-Ring(1.000),Donut(1.000),Near-full(1.000),0.9981,0.0396,1.0,0.0852,0.0009,0.9938,1.0,1.0
104_Random.png,104,Random,Best CNN + Aug,Donut,False,0.5653,0.0708,0.4945,Donut(0.565),Edge-Loc(0.350),Random(0.071),0.0053,0.0039,0.0,0.3497,0.0,0.0708,0.5653,0.0043
104_Random.png,104,Random,Best CNN,Donut,False,0.3642,0.2904,0.0738,Donut(0.364),Edge-Loc(0.326),Random(0.290),0.0134,0.0048,0.0,0.3258,0.0,0.2904,0.3642,0.0014
104_Random.png,104,Random,Fullstack,Edge-Loc,False,0.9998,0.8927,0.1071,Edge-Loc(1.000),Scratch(0.998),Center(0.981),0.9808,0.9657,0.3188,0.9998,0.9982,0.8927,0.9659,0.3898
104_Random.png,104,Random,Seg → CLF,Center,False,1.0,1.0,0.0,Center(1.000),Loc(1.000),Edge-Ring(1.000),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105_Random.png,105,Random,Best CNN + Aug,Near-full,False,0.9216,0.0,0.9216,Near-full(0.922),Donut(0.036),Edge-Loc(0.035),0.0,0.0066,0.0,0.0352,0.0,0.0,0.0365,0.9216
105_Random.png,105,Random,Best CNN,Near-full,False,0.9025,0.0,0.9025,Near-full(0.902),Donut(0.056),Edge-Loc(0.034),0.0001,0.0082,0.0,0.0336,0.0,0.0,0.0555,0.9025
